Grouped_genres,"Value",Genre
Jazz|Jazz.fusion|Smooth.jazz|Vocal.jazz|Folk.jazz|Jazz.funk|Acid.jazz|Afro.Cuban.jazz|Latin.jazz|Soul.jazz|Jazz.rap|West.Coast.jazz|Nu.jazz|Punk.jazz|Cool.jazz|Modal.jazz|Crossover.jazz|Avant.garde.jazz|Jazz.standard,2534,Jazz
Funk|Funk.metal|G.funk|Liquid.funk|Funktronica|P.Funk|Funk.carioca|Funky.house|Nu.funk,1968,Funk
Country.music|Country.pop|Country.blues|Country.folk|Bro.country|Alternative.country|Country.rap|Outlaw.country|Hill.country.blues|Truck.driving.country|Texas.country.music|Christian.country.music,8165,Country
Disco|Post.disco|Euro.disco|Nu.disco|Italo.disco|Space.disco|Disco.house,1655,Disco
Contemporary.R.B|PBR.B|R.B.Contemporain,2201,R&B
Blues|Blues.rock|Rhythm.and.blues|Chicago.blues|Jump.blues|Electric.blues|Gospel.blues|Twelve.bar.blues|Talking.blues|Punk.blues|British.rhythm.and.blues|Memphis.blues|Classic.female.blues|Piedmont.blues|Delta.blues|Texas.blues|New.Orleans.blues|New.Orleans.rhythm.and.blues,9930,Blues
Heavy.metal.music|Alternative.metal|Glam.metal|Nu.metal|Thrash.metal|Industrial.metal|Rap.metal|Progressive.metal|Power.metal|Speed.metal|Symphonic.metal|Groove.metal|Metalcore|Doom.metal|Gothic.metal|Traditional.heavy.metal|Sludge.metal|Melodic.metalcore|Viking.metal|Death.metal|Neoclassical.metal|Avant.garde.metal|Christian.metal|Post.metal|Melodic.death.metal|Extreme.metal|Heavy.metal.traditionnel,3447,Metal
Baroque|Baroque.pop|Baroque.music,1913,Baroque
Reggae|Reggae.fusion|Reggaeton|Roots.reggae|Reggaestep,1081,Reggae
Dance|Dance.music|Eurodance|Dance.rock|Electronic.dance.music|Alternative.dance|Dance.punk|Dancehall|Bubblegum.dance|Italo.dance|Intelligent.dance.music|Hardcore..electronic.dance.music.genre.|Jive..dance.|Industrial.dance|Dance.hall,4615,Dance
Gospel|Gospel.music|Traditional.black.gospel|Urban.contemporary.gospel,1137,Gospel
Post.punk|Proto.punk|Post.punk.revival|Hardcore.punk|Garage.punk|Ska.punk|Glam.punk|Art.punk|Horror.punk|Skate.punk|Cowpunk|Celtic.punk|Christian.punk|Gypsy.punk,1303,Punk
